tree,n_inserted,splits,nodes,height,utilization
Btree,10000,768,772,4,0.681756
Btree,20000,1546,1550,4,0.679117
Btree,30000,2309,2313,4,0.68264
Btree,40000,3086,3090,4,0.681315
Btree,50000,3853,3857,4,0.682286
Btree,60000,4581,4586,5,0.688595
Btree,70000,5374,5379,5,0.684925
Btree,80000,6194,6199,5,0.679227
Btree,90000,6934,6939,5,0.68264
Btree,100000,7679,7684,5,0.68495
Bstartree,10000,607,611,4,0.861401
Bstartree,20000,1225,1229,4,0.856494
Bstartree,30000,1834,1838,4,0.859057
Bstartree,40000,2436,2440,4,0.862813
Bstartree,50000,3071,3075,4,0.855798
Bstartree,60000,3657,3661,4,0.862577
Bstartree,70000,4300,4304,4,0.855997
Bstartree,80000,4883,4887,4,0.861577
Bstartree,90000,5510,5514,4,0.859057
Bstartree,100000,6127,6131,4,0.85845
Bplustree,10000,810,814,4,0.695202
Bplustree,20000,1612,1616,4,0.700137
Bplustree,30000,2411,2415,4,0.702692
Bplustree,40000,3228,3232,4,0.700283
Bplustree,50000,4018,4022,4,0.703264
Bplustree,60000,4808,4813,5,0.704999
Bplustree,70000,5623,5628,5,0.703466
Bplustree,80000,6467,6472,5,0.69941
Bplustree,90000,7239,7244,5,0.702825
Bplustree,100000,8044,8049,5,0.70282
